"petition_number","cert_wrkrs_pet","partic_pet","partic_rate"
65506,24,7,0.291666666666667
65507,13,14,1
65514,18,7,0.388888888888889
65521,33,7,0.212121212121212
65527,27,26,0.962962962962963
65542,90,30,0.333333333333333
65553,18,5,0.277777777777778
65554,45,17,0.377777777777778
65560,51,35,0.686274509803922
65564,165,72,0.436363636363636
65576,25,9,0.36
65577,71,104,1
65585,44,26,0.590909090909091
65589,193,70,0.362694300518135
65596,17,14,0.823529411764706
65600,44,21,0.477272727272727
65607,177,32,0.180790960451977
65608,16,3,0.1875
65637,200,39,0.195
65653,4,9,1
65654,381,112,0.293963254593176
65655,166,116,0.698795180722892
65656,97,43,0.443298969072165
65657,18,4,0.222222222222222
65667,93,57,0.612903225806452
65672,13,3,0.230769230769231
65678,62,8,0.129032258064516
65683,1755,153,0.0871794871794872
65687,19,35,1
65688,31,31,1
65689,24,25,1
65694,135,8,0.0592592592592593
65698,9,7,0.777777777777778
65700,43,34,0.790697674418605
65701,10,14,1
65702,87,31,0.35632183908046
65708,53,45,0.849056603773585
65722,57,24,0.421052631578947
65727,77,18,0.233766233766234
65735,514,185,0.359922178988327
65736,34,10,0.294117647058824
65738,16,9,0.5625
65742,111,8,0.0720720720720721
65759,6,21,1
65762,1310,1049,0.800763358778626
65771,171,35,0.204678362573099
65777,186,53,0.28494623655914
65778,12,4,0.333333333333333
65797,31,86,1
65800,45,15,0.333333333333333
65805,337,37,0.109792284866469
65806,237,41,0.172995780590717
65808,159,7,0.0440251572327044
65812,127,26,0.204724409448819
65819,175,114,0.651428571428571
65839,334,70,0.209580838323353
65850,41,10,0.24390243902439
65867,179,20,0.111731843575419
65890,39,4,0.102564102564103
65904,107,60,0.560747663551402
70001,295,158,0.535593220338983
70002,63,5,0.0793650793650794
70003,56,24,0.428571428571429
70004,22,7,0.318181818181818
70005,105,26,0.247619047619048
70006,25,33,1
70007,17,24,1
70009,12,6,0.5
70010,25,7,0.28
70013,7,19,1
70014,111,68,0.612612612612613
70015,246,21,0.0853658536585366
70016,196,126,0.642857142857143
70017,684,542,0.792397660818713
70018,121,4,0.0330578512396694
70020,221,133,0.601809954751131
70021,73,58,0.794520547945205
70022,96,96,1
70023,270,47,0.174074074074074
70024,152,86,0.565789473684211
70025,24,3,0.125
70026,50,29,0.58
70027,54,7,0.12962962962963
70028,115,24,0.208695652173913
70030,119,107,0.899159663865546
70032,114,14,0.12280701754386
70034,60,29,0.483333333333333
70035,67,26,0.388059701492537
70036,27,11,0.407407407407407
70037,337,3,0.00890207715133531
70039,42,34,0.80952380952381
70040,112,70,0.625
70041,110,69,0.627272727272727
70043,40,9,0.225
70044,50,14,0.28
70045,71,23,0.323943661971831
70048,18,30,1
70049,21,10,0.476190476190476
70050,153,35,0.228758169934641
70051,83,41,0.493975903614458
70053,294,39,0.13265306122449
70054,100,53,0.53
70055,119,57,0.478991596638655
70056,41,209,1
70057,205,221,1
70058,356,8,0.0224719101123595
70059,47,32,0.680851063829787
70060,40,25,0.625
70061,153,13,0.0849673202614379
70063,65,4,0.0615384615384615
70064,59,158,1
70065,29,3,0.103448275862069
70066,104,32,0.307692307692308
70067,525,38,0.0723809523809524
70068,25,4,0.16
70069,39,8,0.205128205128205
70070,369,109,0.295392953929539
70073,207,50,0.241545893719807
70074,64,9,0.140625
70075,125,24,0.192
70081,138,13,0.0942028985507246
70082,209,176,0.842105263157895
70084,75,4,0.0533333333333333
70085,102,6,0.0588235294117647
70086,45,15,0.333333333333333
70087,451,77,0.170731707317073
70088,168,76,0.452380952380952
70090,200,31,0.155
70093,68,57,0.838235294117647
70095,45,17,0.377777777777778
70096,109,35,0.321100917431193
70097,65,10,0.153846153846154
70098,84,12,0.142857142857143
70103,61,33,0.540983606557377
70105,145,56,0.386206896551724
70106,326,41,0.125766871165644
70110,115,3,0.0260869565217391
70111,22,4,0.181818181818182
70112,128,52,0.40625
70113,17,10,0.588235294117647
70115,329,81,0.246200607902736
70116,79,25,0.316455696202532
70119,18,6,0.333333333333333
70120,59,10,0.169491525423729
70121,74,20,0.27027027027027
70122,404,3,0.00742574257425743
70123,304,770,1
70124,1270,583,0.459055118110236
70125,215,25,0.116279069767442
70126,222,60,0.27027027027027
70127,268,37,0.138059701492537
70129,140,57,0.407142857142857
70131,41,19,0.463414634146341
70132,242,10,0.0413223140495868
70133,111,41,0.369369369369369
70135,9,3,0.333333333333333
70136,51,47,0.92156862745098
70142,2009,191,0.095072175211548
70143,470,80,0.170212765957447
70144,37,21,0.567567567567568
70146,16,4,0.25
70147,90,25,0.277777777777778
70148,60,45,0.75
70150,63,34,0.53968253968254
70151,20,27,1
70152,865,224,0.258959537572254
70153,34,60,1
70154,112,3,0.0267857142857143
70158,214,43,0.200934579439252
70159,78,24,0.307692307692308
70160,14,7,0.5
70161,65,5,0.0769230769230769
70162,233,8,0.0343347639484979
70163,65,8,0.123076923076923
70164,663,8,0.0120663650075415
70165,61,18,0.295081967213115
70166,750,128,0.170666666666667
70167,23,5,0.217391304347826
70168,75,33,0.44
70169,264,11,0.0416666666666667
70171,71,13,0.183098591549296
70172,23,12,0.521739130434783
70174,38,13,0.342105263157895
70176,33,18,0.545454545454545
70180,357,28,0.0784313725490196
70183,150,197,1
70184,179,40,0.223463687150838
70186,36,20,0.555555555555556
70187,113,7,0.0619469026548673
70188,96,11,0.114583333333333
70189,280,101,0.360714285714286
70190,25,7,0.28
70191,80,4,0.05
70192,34,3,0.0882352941176471
70193,110,5,0.0454545454545455
70194,544,6,0.0110294117647059
70195,15,5,0.333333333333333
70196,139,30,0.215827338129496
70197,60,11,0.183333333333333
70199,340,17,0.05
70203,36,11,0.305555555555556
70204,199,16,0.0804020100502513
70206,312,4,0.0128205128205128
70207,208,37,0.177884615384615
70208,40,16,0.4
70209,253,123,0.486166007905138
70210,150,63,0.42
70211,48,8,0.166666666666667
70213,11,6,0.545454545454545
70217,238,32,0.134453781512605
70220,65,62,0.953846153846154
70221,51,4,0.0784313725490196
70222,104,58,0.557692307692308
70224,4,6,1
70225,32,22,0.6875
70226,59,7,0.11864406779661
70228,204,39,0.191176470588235
70229,42,4,0.0952380952380952
70232,375,104,0.277333333333333
70233,33,7,0.212121212121212
70234,101,18,0.178217821782178
70235,368,158,0.429347826086957
70238,40,26,0.65
70239,112,65,0.580357142857143
70242,384,105,0.2734375
70243,139,57,0.410071942446043
70244,70,10,0.142857142857143
70245,100,5,0.05
70247,21,11,0.523809523809524
70248,244,15,0.0614754098360656
70250,5,11,1
70252,89,33,0.370786516853933
70255,318,5,0.0157232704402516
70256,61,25,0.409836065573771
70258,79,9,0.113924050632911
70260,728,125,0.171703296703297
70261,28,4,0.142857142857143
70263,143,164,1
70264,93,31,0.333333333333333
70265,25,29,1
70266,73,170,1
70272,600,156,0.26
70273,17,5,0.294117647058824
70274,77,23,0.298701298701299
70275,15,13,0.866666666666667
70276,336,31,0.0922619047619048
70277,56,17,0.303571428571429
70278,152,50,0.328947368421053
70280,86,49,0.569767441860465
70283,102,18,0.176470588235294
70284,164,3,0.0182926829268293
70285,75,84,1
70288,89,3,0.0337078651685393
70289,45,28,0.622222222222222
70290,53,35,0.660377358490566
70291,369,78,0.211382113821138
70292,678,25,0.0368731563421829
70293,12,3,0.25
70295,7,4,0.571428571428571
