petition_number,cert_wrkrs_pet,partic_pet
71849,18,7
71850,54,10
71854,64,5
71857,21,6
71859,146,33
71862,15,8
71866,170,61
71867,45,15
71871,28,127
71872,105,10
71874,100,19
71875,71,10
71876,65,110
71877,67,37
71880,262,30
71881,30,3
71882,315,73
71886,13,3
71888,214,96
71893,22,4
71894,103,13
71896,189,30
71897,16,64
71899,28,5
71901,90,16
71902,74,14
71905,49,5
71906,52,3
71907,166,9
71908,20,68
71913,86,10
71914,46,38
71919,854,61
71920,40,54
71922,78,6
71924,130,61
71926,161,39
71929,40,31
71930,236,45
71931,30,5
71934,106,67
71935,68,24
71937,162,5
71938,187,20
71940,63,4
71941,131,38
71942,16,12
71945,219,48
71947,50,102
71949,121,8
71952,1401,"1,480"
71955,62,8
71957,47,13
71958,177,23
71959,37,5
71960,50,18
71961,12,15
71962,34,31
71965,120,38
71966,45,10
71969,210,46
71970,47,8
71975,56,22
71977,33,4
71978,218,40
71979,80,15
71980,125,20
71983,24,14
71985,360,168
71986,288,5
71988,36,8
71991,92,7
71992,70,26
71993,34,12
71994,300,141
71997,60,56
71998,300,48
71999,107,5
72000,330,25
72003,123,21
72004,10,6
72005,56,5
72011,18,67
72013,375,25
72015,3,3
72017,132,11
72019,120,5
72022,634,5
72023,200,22
72024,45,25
72027,27,7
72029,624,91
